obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance
FCFS,LGAP,10,3,900,4538499,21s-20-30-0.txt,30,20,15,4288
RANDOM,LGAP,10,3,900,2028890,21s-20-30-0.txt,30,20,13,3931
SOP,LGAP,10,3,900,2206883,21s-20-30-0.txt,30,20,20,4865
G01,LGAP,10,3,900,1670526,21s-20-30-0.txt,30,20,12,3867
G02,LGAP,10,3,900,1829661,21s-20-30-0.txt,30,20,14,4134
G03,LGAP,10,3,900,1995264,21s-20-30-0.txt,30,20,13,3883
FCFS,LGAP,10,3,900,1771336,21s-20-30-1.txt,30,20,15,4446
RANDOM,LGAP,10,3,900,1470333,21s-20-30-1.txt,30,20,11,3849
SOP,LGAP,10,3,900,1507360,21s-20-30-1.txt,30,20,20,4982
G01,LGAP,10,3,900,1084621,21s-20-30-1.txt,30,20,10,3652
G02,LGAP,10,3,900,1148910,21s-20-30-1.txt,30,20,13,4196
G03,LGAP,10,3,900,1107592,21s-20-30-1.txt,30,20,11,3838
FCFS,LGAP,10,3,900,886033,21s-20-30-2.txt,30,20,13,4105
RANDOM,LGAP,10,3,900,792463,21s-20-30-2.txt,30,20,11,3693
SOP,LGAP,10,3,900,1031007,21s-20-30-2.txt,30,20,20,4913
G01,LGAP,10,3,900,731076,21s-20-30-2.txt,30,20,10,3392
G02,LGAP,10,3,900,824052,21s-20-30-2.txt,30,20,13,4185
G03,LGAP,10,3,900,1108367,21s-20-30-2.txt,30,20,11,3661
FCFS,LGAP,10,3,900,873907,21s-20-30-3.txt,30,20,14,4297
RANDOM,LGAP,10,3,900,739947,21s-20-30-3.txt,30,20,12,3971
SOP,LGAP,10,3,900,1044158,21s-20-30-3.txt,30,20,20,5206
G01,LGAP,10,3,900,754202,21s-20-30-3.txt,30,20,12,4056
G02,LGAP,10,3,900,818255,21s-20-30-3.txt,30,20,14,4417
G03,LGAP,10,3,900,1017176,21s-20-30-3.txt,30,20,13,4209
FCFS,LGAP,10,3,900,615561,21s-20-30-4.txt,30,20,11,3534
RANDOM,LGAP,10,3,900,582049,21s-20-30-4.txt,30,20,10,3420
SOP,LGAP,10,3,900,876843,21s-20-30-4.txt,30,20,20,4662
G01,LGAP,10,3,900,591056,21s-20-30-4.txt,30,20,9,3161
G02,LGAP,10,3,900,718256,21s-20-30-4.txt,30,20,12,3836
G03,LGAP,10,3,900,932294,21s-20-30-4.txt,30,20,10,3269
FCFS,LGAP,10,3,900,687879,21s-20-30-5.txt,30,20,13,4136
RANDOM,LGAP,10,3,900,724379,21s-20-30-5.txt,30,20,12,3880
SOP,LGAP,10,3,900,870454,21s-20-30-5.txt,30,20,20,4912
G01,LGAP,10,3,900,668880,21s-20-30-5.txt,30,20,11,3708
G02,LGAP,10,3,900,711587,21s-20-30-5.txt,30,20,13,4164
G03,LGAP,10,3,900,935997,21s-20-30-5.txt,30,20,11,3716
FCFS,LGAP,10,3,900,752576,21s-20-30-6.txt,30,20,14,4319
RANDOM,LGAP,10,3,900,711443,21s-20-30-6.txt,30,20,14,4467
SOP,LGAP,10,3,900,887689,21s-20-30-6.txt,30,20,20,5203
G01,LGAP,10,3,900,726089,21s-20-30-6.txt,30,20,13,4177
G02,LGAP,10,3,900,772810,21s-20-30-6.txt,30,20,15,4548
G03,LGAP,10,3,900,990057,21s-20-30-6.txt,30,20,14,4435
FCFS,LGAP,10,3,900,704533,21s-20-30-7.txt,30,20,14,4375
RANDOM,LGAP,10,3,900,612965,21s-20-30-7.txt,30,20,11,4147
SOP,LGAP,10,3,900,820230,21s-20-30-7.txt,30,20,20,5248
G01,LGAP,10,3,900,641657,21s-20-30-7.txt,30,20,10,3853
G02,LGAP,10,3,900,673116,21s-20-30-7.txt,30,20,13,4465
G03,LGAP,10,3,900,907464,21s-20-30-7.txt,30,20,11,3966
FCFS,LGAP,10,3,900,621282,21s-20-30-8.txt,30,20,12,3386
RANDOM,LGAP,10,3,900,542090,21s-20-30-8.txt,30,20,10,3060
SOP,LGAP,10,3,900,837280,21s-20-30-8.txt,30,20,20,4434
G01,LGAP,10,3,900,572176,21s-20-30-8.txt,30,20,10,3268
G02,LGAP,10,3,900,652483,21s-20-30-8.txt,30,20,12,3504
G03,LGAP,10,3,900,903616,21s-20-30-8.txt,30,20,10,3230
FCFS,LGAP,10,3,900,519372,21s-20-30-9.txt,30,20,10,3119
RANDOM,LGAP,10,3,900,510768,21s-20-30-9.txt,30,20,10,3202
SOP,LGAP,10,3,900,748248,21s-20-30-9.txt,30,20,20,4371
G01,LGAP,10,3,900,527282,21s-20-30-9.txt,30,20,9,3030
G02,LGAP,10,3,900,574242,21s-20-30-9.txt,30,20,11,3228
G03,LGAP,10,3,900,956106,21s-20-30-9.txt,30,20,10,3070
FCFS,LGAP,10,3,900,623455,21s-20-30-10.txt,30,20,13,3769
RANDOM,LGAP,10,3,900,544342,21s-20-30-10.txt,30,20,10,3261
SOP,LGAP,10,3,900,794531,21s-20-30-10.txt,30,20,20,4571
G01,LGAP,10,3,900,552860,21s-20-30-10.txt,30,20,10,3189
G02,LGAP,10,3,900,632312,21s-20-30-10.txt,30,20,13,3597
G03,LGAP,10,3,900,885627,21s-20-30-10.txt,30,20,10,3049
FCFS,LGAP,10,3,900,689456,21s-20-30-11.txt,30,20,15,4525
RANDOM,LGAP,10,3,900,698532,21s-20-30-11.txt,30,20,14,4260
SOP,LGAP,10,3,900,829783,21s-20-30-11.txt,30,20,20,5037
G01,LGAP,10,3,900,730882,21s-20-30-11.txt,30,20,13,4148
G02,LGAP,10,3,900,755844,21s-20-30-11.txt,30,20,15,4470
G03,LGAP,10,3,900,948182,21s-20-30-11.txt,30,20,13,4053
FCFS,LGAP,10,3,900,716251,21s-20-30-12.txt,30,20,15,4804
RANDOM,LGAP,10,3,900,702908,21s-20-30-12.txt,30,20,14,4583
SOP,LGAP,10,3,900,851813,21s-20-30-12.txt,30,20,20,5485
G01,LGAP,10,3,900,756045,21s-20-30-12.txt,30,20,14,4567
G02,LGAP,10,3,900,793262,21s-20-30-12.txt,30,20,16,4951
G03,LGAP,10,3,900,945930,21s-20-30-12.txt,30,20,14,4618
FCFS,LGAP,10,3,900,742406,21s-20-30-13.txt,30,20,16,4958
RANDOM,LGAP,10,3,900,657550,21s-20-30-13.txt,30,20,13,4414
SOP,LGAP,10,3,900,841774,21s-20-30-13.txt,30,20,20,5471
G01,LGAP,10,3,900,676870,21s-20-30-13.txt,30,20,12,4188
G02,LGAP,10,3,900,742448,21s-20-30-13.txt,30,20,15,4718
G03,LGAP,10,3,900,915802,21s-20-30-13.txt,30,20,12,4118
FCFS,LGAP,10,3,900,647555,21s-20-30-14.txt,30,20,13,4157
RANDOM,LGAP,10,3,900,613638,21s-20-30-14.txt,30,20,12,4043
SOP,LGAP,10,3,900,807562,21s-20-30-14.txt,30,20,20,5029
G01,LGAP,10,3,900,577708,21s-20-30-14.txt,30,20,10,3754
G02,LGAP,10,3,900,667043,21s-20-30-14.txt,30,20,13,4217
G03,LGAP,10,3,900,894387,21s-20-30-14.txt,30,20,11,3895
FCFS,LGAP,10,3,900,529378,21s-20-30-15.txt,30,20,10,3188
RANDOM,LGAP,10,3,900,459213,21s-20-30-15.txt,30,20,9,3102
SOP,LGAP,10,3,900,700637,21s-20-30-15.txt,30,20,20,4246
G01,LGAP,10,3,900,509373,21s-20-30-15.txt,30,20,9,3002
G02,LGAP,10,3,900,539992,21s-20-30-15.txt,30,20,10,3262
G03,LGAP,10,3,900,878849,21s-20-30-15.txt,30,20,9,3129
FCFS,LGAP,10,3,900,689326,21s-20-30-16.txt,30,20,15,4405
RANDOM,LGAP,10,3,900,631069,21s-20-30-16.txt,30,20,12,4006
SOP,LGAP,10,3,900,819177,21s-20-30-16.txt,30,20,20,5167
G01,LGAP,10,3,900,681534,21s-20-30-16.txt,30,20,12,4050
G02,LGAP,10,3,900,744924,21s-20-30-16.txt,30,20,15,4591
G03,LGAP,10,3,900,890679,21s-20-30-16.txt,30,20,12,3936
FCFS,LGAP,10,3,900,670156,21s-20-30-17.txt,30,20,14,4246
RANDOM,LGAP,10,3,900,641217,21s-20-30-17.txt,30,20,13,4111
SOP,LGAP,10,3,900,797268,21s-20-30-17.txt,30,20,20,4931
G01,LGAP,10,3,900,677332,21s-20-30-17.txt,30,20,13,4000
G02,LGAP,10,3,900,735841,21s-20-30-17.txt,30,20,15,4373
G03,LGAP,10,3,900,971426,21s-20-30-17.txt,30,20,13,3952
FCFS,LGAP,10,3,900,622894,21s-20-30-18.txt,30,20,13,4012
RANDOM,LGAP,10,3,900,582823,21s-20-30-18.txt,30,20,12,3963
SOP,LGAP,10,3,900,790390,21s-20-30-18.txt,30,20,20,5196
G01,LGAP,10,3,900,586137,21s-20-30-18.txt,30,20,10,3541
G02,LGAP,10,3,900,683561,21s-20-30-18.txt,30,20,13,4081
G03,LGAP,10,3,900,912830,21s-20-30-18.txt,30,20,11,3793
FCFS,LGAP,10,3,900,611840,21s-20-30-19.txt,30,20,13,4010
RANDOM,LGAP,10,3,900,514348,21s-20-30-19.txt,30,20,10,3541
SOP,LGAP,10,3,900,750936,21s-20-30-19.txt,30,20,20,4741
G01,LGAP,10,3,900,520282,21s-20-30-19.txt,30,20,10,3486
G02,LGAP,10,3,900,623987,21s-20-30-19.txt,30,20,12,3903
G03,LGAP,10,3,900,917467,21s-20-30-19.txt,30,20,11,3643
FCFS,LGAP,10,3,900,757907,21s-20-30-20.txt,30,20,17,5063
RANDOM,LGAP,10,3,900,678621,21s-20-30-20.txt,30,20,15,4739
SOP,LGAP,10,3,900,837436,21s-20-30-20.txt,30,20,20,5382
